mohu,Date,Author,Target,Description,Attack,Target Class,Attack Class,Country,Link,Tags,
1,01/08/2015,?,RBS Banking Group,"The RBS banking group reveals it suffered a cyber attack on its online services that left customers struggling to log on for nearly an 
hour.",DDoS,Finance,CC,"UK
",http://www.theguardian.com/business/2015/jul/31/rbs-and-natwest-customers-complain-of-online-problems,RBS,","
2,01/08/2015,?,"OCEA
(Orange County Employees Association)","The Orange County Employees Association notifies an undisclosed number of people that their personal information, and that of their dependents, may have been accessed by hackers during one or more attacks, which appears to have occurred as early as June 5, and detected on July 23.",Unknown,Org: Non-Profit,CC,US,http://www.databreaches.net/orange-county-employees-association-victim-of-hack/,"OCEA, Orange County Employees Association",","
3,01/08/2015,?,Red Granite Pictures,"Red Granite Pictures, claims in a new lawsuit that it has been the subject of a malicious hack that has allowed the attackers to intimidate employees and disrupt its business via a mass emails campaign.",Unknown,"Industry: Entertainment
",CC,US,http://www.hollywoodreporter.com/thr-esq/wolf-wall-street-backer-says-812115,Red Granite Pictures,","
4,01/08/2015,?,Siouxland Pain Clinic,"Siouxland Pain Clinic‘s computer system is hacked, putting at risk patient privacy. 13,000 users are potentially affected and an investigation suggests a possible Chinese origin for the attack.",Unknown,Healthcare,CC,US,http://www.databreaches.net/siouxland-pain-clinic-says-patient-information-likely-exposed-by-hacker/,Siouxland Pain Clinic,","
5,01/08/2015,MuhmadEmad,"Sheriff’s Office at Etowah County and Hardin Center
http://etowahcountysheriff.com
http://culturalarts.com","MuhmadEmad, an anti-ISIS Kurdish hacker, defaces the Sheriff’s office at Etowah County and Hardin Center (etowahcountysheriff.com and culturalarts.com) posting a message against Islamic State. The sites are hosted on Network Solutions that publishes a statement about the attack. ",Defacement,Law Enforcement,H,US,"https://www.hackread.com/anti-isis-kurdish-hacker-sheriff-site/
http://www.databreaches.net/network-solutions-customer-sites-defaced/","MuhmadEmad, ISIS, Sheriff’s Office at Etowah County and Hardin Center, etowahcountysheriff.com, culturalarts.com, Network Solutions",","
6,01/08/2015,?,"Bodmin College's website
http://www.bodmincollege.co.uk",A disgruntled former student is thought to be responsible for hacking Bodmin College's website and defacing it with a series of obscenities,Defacement,Education,CC,UK,http://www.cornishguardian.co.uk/Bodmin-College-website-hacked-obscenities-WARNING/story-27514759-detail/story.html,"Bodmin College, bodmincollege.co.uk",","
7,02/08/2015,"Anonymous
","Several Taiwan government websites
","In name of OpTaiwan, the online hacktivist Anonymous shuts down several Taiwan government websites.",DDoS,Government,H,TW,https://www.hackread.com/anonymous-brings-down-taiwan-govt-websites/,"Taiwan, Anonymous",","
8,02/08/2015,?,"Dubizzle
","Several Dubizzle customers receive a warning email message instructing them to immediately change their passwords, after the online classifieds website discovers a security breach.",Unknown,Industry: Classified Marketplace,CC,UAE,http://www.emirates247.com/business/technology/dubizzle-strengthens-online-security-following-breach-2015-08-06-1.599356,Dubizzle,","
9,03/08/2015,?,Yahoo!,Malwarebytes uncovers a large scale attack abusing Yahoo!’s own ad network (6.9 Billion visits per month).,Malvertising,Industry: Internet Services,CC,US,https://blog.malwarebytes.org/malvertising-2/2015/08/large-malvertising-campaign-takes-on-yahoo/,"Yahoo!, Malwarebytes",","
10,03/08/2015,Telecomix Canada,"Donald Trump Corporate Website
http://www.trump.com",Telecomix Canada hacks Donald Trump's corporate website (trump.com) sending a public thank you message to outgoing Daily Show host Jon Stewart.,Defacement,Single Individual,H,US,http://www.cbc.ca/news/trending/hacktivists-hijack-donald-trumps-website-with-message-for-jon-stewart-1.3178066,"Telecomix Canada, Donald Trump, trump.com, Daily Show, Jon Stewart",","
11,04/08/2015,?,Valve's Dota 2 Online Tournament,"The International annual tournament for Valve's Dota 2, featuring dozens of players and millions in prize money, is put on hold when a DDoS attack takes down the game's servers.",DDoS,Industry: Video Games,CC,US,http://www.theverge.com/2015/8/4/9097597/the-international-dota-2-ddos-attack-valve,"Valve, Dota 2",","
12,04/08/2015,?,Hover,"Website domain name registrar Hover emails users warning of possible ""unauthorised access"" to one of its systems, telling them that they will not be able to log into the service until they reset their passwords.",Unknown,Industry: Internet Services,CC,CA,https://grahamcluley.com/2015/08/security-alert-hover-leads-password-reset/,Hover,","
13,04/08/2015,?,"Andy Weir
","Andy Weir, the creator of The Martian has its Twitter and E-mail accounts hacked.",Account Hijacking,Single Individual,CC,US,http://arstechnica.com/security/2015/08/the-martian-author-says-comcast-let-hacker-take-over-his-e-mail/,"Andy Weir, The Martian",","
14,04/08/2015,Terracotta,">1
","Researchers from RSA Security have discover a VPN provider in China that use hacked Windows servers around the world as VPN nodes on a network that is used as cover by some APT groups. The provider is codenamed: Terracotta.
",>1,>1,CC,>1,https://threatpost.com/researchers-uncover-terracotta-chinese-vpn-service-used-by-apt-crews-for-cover/114110#sthash.vHpLzuCC.dpuf,"Terracotta, RSA Security",","
15,05/08/2015,"Emissary Panda
Threat Group 3390",>1,"Dell SecureWorks researchers unveil a report on a newly detected hacking group that has targeted companies around the world while stealing massive amounts of industrial data. The majority of the targets of the hacking group were in the automotive, electronic, aerospace, energy, and pharmaceutical industries.",Targeted Attack via Watering Hole,>1,CE,>1,http://arstechnica.com/security/2015/08/newly-discovered-chinese-hacking-group-hacked-100-websites-to-use-as-watering-holes/,"Emissary Panda, Threat Group 3390, Dell SecureWorks",","
