ID,Date,Author,Target,Description,Attack,Target Class,Attack Class,Country,Link,Tags,
1,11/09/2015,?,Yapstone,"YapStone (VacationRentPayments) notifies some property managers and others who use their service to receive vacation rental payments that personal information in their account applications was compromised by unauthorized persons between July 15, 2014 and August 5, 2015.",Unknown,Industry: online payment processing,CC,US,http://www.databreaches.net/vacationrentpayment-notifies-customers-whose-account-application-information-was-hacked/,Yapstone,","
2,16/09/2015,Iron Tiger,"US Government, US defense contractors and related companies in the US and abroad","Trend Micro unveils the details of Operation Iron Tiger, a high-level operation observed stealing trillions of bytes of confidential data from the United States government, US defense contractors and related companies in the United States and abroad.",Targeted Attack,Government,CE,US,http://www.forbes.com/sites/lisabrownlee/2015/09/17/chinese-cyber-attacks-on-us-military-interests-confirmed-as-advanced-persistent-and-ongoing/,"Iron Tiger, Trend Micro",","
3,16/09/2015,?(China?),Russian military personnel and Russian telecoms,Proofpoint reveals the details of a campaign targeting Russian military personnel and Russian telecoms employees via a variant of the PlugX RAT.,Targeted Attack,"Military:
Industry: Telecom",CE,RU,http://www.scmagazineuk.com/news-alert-apts-target-russian-military-personnel-and-telecoms-employees/article/439244/,"Proofpoint, PlugX",","
4,16/09/2015,"w0rm
(hacking crew)","Monopoly
(hacking crew)","The w0rm hacking crew, operators of a forum of the same name, have attack a rival gang, Monopoly, and offer the database of their rivals for sale on their forum.",Unknown,Hacking Crew,CC,NA,http://motherboard.vice.com/read/hackers-hack-other-hackers-offer-their-data-for-500?linkId=17102714,"w0rm, Monopoly, ",","
5,16/09/2015,NetPirates,"Malabar Institute of Medical Sciences
http://www.mimsindia.com/","The NetPirates hack the Malabar Institute of Medical Sciences (mimsindia.com) and dump 6,709 usernames and clear text passwords.",SQLi,Healthcare,CC,IN,http://siph0n.net/exploits.php?id=4054,"NetPirates, Malabar Institute of Medical Sciences, mimsindia.com",","
6,17/09/2015,The Dukes,"United States
Europe
Asia","F-Secure reveals the details of The Dukes, a Russian speaking actor behind a seven years campaign of targeted attacks against the United States, Europe and Asia.",Targeted Attack,Government,CE,>1,https://grahamcluley.com/2015/09/russia-using-duke-family-malware-spy-countries-2008-says-secure/,"F-Secure, The Dukes",","
7,17/09/2015,?,Apple App Store,Apple officials clean up the company's App Store after several security firms report that almost 40 iOS apps contain malicious code,"XcodeGhost
(malicious version of Apple Xcode IDE)",Industry: Software,CC,>1,http://arstechnica.com/security/2015/09/apple-scrambles-after-40-malicious-xcodeghost-apps-haunt-app-store/,"Apple, XcodeGhost, Xcode",","
8,17/09/2015,?,"Red Hat Projects:
Ceph community project (ceph.com)
Inktank (download.inktank.com)",Red Hat reveals to have suffered an intrusion on the sites of both the Ceph community project (ceph.com) and Inktank (download.inktank.com) that resulted in signed code being accessed.,Unknown,Industry: Software,CC,US,http://www.theregister.co.uk/2015/09/18/intrusion_at_cephcom_makes_for_red_faces_at_red_hat/,"Red Hat, Ceph, ceph.com, Inktank, download.inktank.com",","
9,17/09/2015,?,Commack School District Computer System,Commack school district computer district is hacked by an unknown individual.,Unknown,Education,CC,US,http://poststar.com/news/state-and-regional/li-high-school-computer-system-hacked/article_c042c1fc-99ba-52d8-8cc2-a8189bdc7619.html,Commack School District,","
10,17/09/2015,?,Forbes,Forbes is notified of a malvertising campaign on its website running from 8 to 15 September. The company states to have removed the offending ads.,Malvertising,News,CC,US,http://www.forbes.com/sites/thomasbrewster/2015/09/22/forbes-website-served-malware/?ss=Security,Forbes,","
11,17/09/2015,?,Online Poker sites including PokerStars and Full Tilt Poker,"ESET unveils the details of  Win32/Spy.Odlanor, a malware used by its malware operator to cheat in online poker by peeking at the cards of infected opponents. It specifically targets two of the largest online poker sites: PokerStars and Full Tilt Poker.",Malware,Online Gambling,CC,>1,http://www.welivesecurity.com/2015/09/17/the-trojan-games-odlanor-malware-cheats-at-poker/,"ESET, Win32/Spy.Odlanor, PokerStars, Full Tilt Poker",","
12,17/09/2015,Opheus Haxor,http://www.j-ax.it,"Opheus Haxor hacks the forum section of j-ax.it (the website of one of the most Italian singers) and dumps 31,000 usernames. ",SQLi,Industry: Entertainment,CC,IT,http://siph0n.net/exploits.php?id=4057,"Opheus Haxor, j-ax.it",","
13,18/09/2015,Anonymous,"Embarcadero Group
Palo Alto Weekly
Mountain View Voice
Pleasanton Weekly
The Almanac","An individual or group claiming to be the hacktivist collective Anonymous shuts down all websites operated by Embarcadero Media Group, which runs several community newspapers in the Bay Area. The media group’s newspapers include: Palo Alto Weekly, Mountain View Voice, Pleasanton Weekly and The Almanac.",Defacement,News,H,US,http://www.theregister.co.uk/2015/09/04/essex_police_ddos/,"Anonymous, Embarcadero Media Group, Palo Alto Weekly, Mountain View Voice, Pleasanton Weekly, The Almanac",","
14,18/09/2015,?,A large number of Wordpress sites,Sucuri reveals a massive Wordpress campaign redirecting the visitors of the infected sites to a Nuclear Exploit Kit landing page.,Malicious JavaScript Injection,>1,CC,>1,https://blog.sucuri.net/2015/09/wordpress-malware-active-visitortracker-campaign.html,"Worpdress, Sucuri, Nuclear Exploit Kit",","
15,18/09/2015,Horux,Kettering General Hospital,"Kettering General Hospital reveals that its email system is compromised by a Russian hacking group, that used it to send spam.",Account Hijacking,Healthcare,CC,UK,http://www.scmagazineuk.com/exclusive-kettering-general-hospital-investigating-email-data-breach/article/439350/,"Kettering General Hospital, Horux",","
16,18/09/2015,Hack for Trump,"Fidelity Group
http://www.fidelitygroup.com/","A group of hackers that calls itself “Hack for Trump” claims to have hacked the website of Fidelity Group and threaten it would make the stolen data public unless Fidelity pays $30,000. The hackers plan to use the funds ""to help Donald Trump get elected to the White House"".",SQLi,Finance,CC,KY,http://www.compasscayman.com/caycompass/2015/09/18/Fidelity-Bank-hacked-and-blackmailed/,"Hack for Trump, Fidelity Group Donald Trump",","
17,18/09/2015,@W0x404,French Marketplaces in the Darknet,"An individual with the moniker of @W0x404 claims to have hacked several French-speaking marketplaces of questionable goods inside the Darknet. As proof of his actions, the attacker dumps several screenshots.",Unknown,Darknet marketplaces,CC,FR,http://www.zataz.com/infiltration-dans-le-black-market-francais-suite/,"@W0x404, Darknet",","
18,18/09/2015,ElliotAlderson,http://asankadr.az/,"ElliotAlderson hacks asankadr.az and dumps 5,926 usernames and hashed passwords.",Unknown,Industry: Recruiting,CC,AZ,http://siph0n.net/exploits.php?id=4063,"ElliotAlderson, asankadr.az",","
19,19/09/2015,"AntiSec
HagashTeam",8 Vietnamese government websites,"Two hacktivists affiliated to Anonymous, AntiSec and HagashTeam, deface 8 Vietnamese government websites against online censorship and human rights violations in the country.",Defacement,Government,H,VN,https://www.hackread.com/anonymous-hacks-vietnam-government-against/,"Anonymous, AntiSec, HagashTeam",","
20,21/09/2015,?(China?),>1,"Check Point Software unveils the details of a new malicious app uploaded in Google Play in disguise of a Brain Test app. The malware could have infected at least 200,000 Android phones, possibly as many as 1 million.",Malicious App,Single Individuals,CC,>1,http://www.forbes.com/sites/thomasbrewster/2015/09/21/chinese-hackers-beat-google-bouncer/?ss=Security,"Check Point Software, Google Play, Brain Test",","
21,22/09/2015,?,http://www.padlocks4less.com/,"Frank J. Martin Company notifies an undisclosed number of individuals who made purchases on the Padlocks4Less website that their personal information, including payment card data, may have been accessed without authorization.",Unknown,Industry: E-Commerce,CC,US,http://www.scmagazine.com/padlocks4less-website-possibly-compromised-payment-cards-at-risk/article/441140/,padlocks4less.com,","
