moh,Date,Author,Target,Description,Attack,Target Class,Attack Class,Country,Link,Tags,
1,12/08/2015,Anonymous,"State Information Technology Agency
http://sita.co.za","In name of #OperationSA and #OpMonsanto, the Anonymous hack the South African government contractor State Information Technology Agency (sita.co.za) and leak its entire database.","SQLi
",Industry: Information Technology,H,ZA,https://www.hackread.com/opmonsanto-anonymous-hacks-south-african-govt/,"Anonymous, #OperationSA,  #OpMonsanto, Anonymous, State Information Technology Agency, SITA, sita.co.za, Monsanto",","
2,12/08/2015,?,"University of Michigan’s Facebook pages:
Michigan Football
Michigan Basketball
Michigan Athletics","The University of Michigan’s most popular Facebook pages: Michigan Football, Michigan Basketball, and Michigan Athletics are hacked by an unknown user that posts malicious messages.",Account Hijacking,Education,CC,"US
",http://socialmedia.umich.edu/blog/hacked/,"University of Michigan, Facebook, Michigan Football, Michigan Basketball, Michigan Athletics",","
3,13/08/2015,?,Web.com,"The name, address, and credit card information of approximately 93,000 customers of Web.com, a popular US-based provider of Internet services to small businesses, is compromised due to a breach of one of the company's computer systems.","Unknown
",Industry: Internet Services,CC,"US
",http://www.net-security.org/secworld.php?id=18783,"Web.com
",","
4,15/08/2015,Kelvinsecurity AKA KelvinSecTeam,"Secretaría de Educación Pública
http://www.sepdf.gob.mx
",Kelvinsecurity AKA KelvinSecTeam hacks the website of the Mexican Public Education Registry (Secretaría de Educación Pública sepdf.gob.mx) and dumps 106 records with hashed passwords.,"SQLi
",Government,CC,MX,http://siph0n.net/exploits.php?id=4001,"Kelvinsecurity, KelvinSecTeam, Secretaría de Educación Pública, sepdf.gob.mx",","
5,15/08/2015,Cyber of Emotion (@Cyber_Emotion),24 Saudi Government Websites,A Saudi Hacker going with the handle of Cyber of Emotion (@Cyber_Emotion) claims to have hacked more than 24 Saudi government websites.,"Defacement
",Government,CC,SA,http://www.databreaches.net/hacker-hits-24-sites-to-alert-govt/,"Cyber of Emotion, @Cyber_Emotion",","
6,16/08/2015,"RootDevilz
Jonturk75
Bozkurt97","UNICEF India
http://unicef.in
","A group of Turkish hackers going with the online handles of RootDevilz, Jonturk75 and Bozkurt97 deface the official website of Unicef India (unicef.in) and post a message against China, US, UN, EU and Israel.","Defacement
",Org: United Nations,H,IN,https://www.hackread.com/unicef-india-website-turkish-hackers/,"RootDevilz, Jonturk75, Bozkurt97, Unicef India, unicef.in",","
7,17/08/2015,?,"http://www.totally promotional.com
Totally Promotional","Totally Promotional, an internet seller of imprinted promotional products, notifies an undisclosed number of customers that attackers forced their way into its systems and gained access to some customer payment card data and other information. However it appears that the breach did not involve directly Totally Promotional, but rather Casad Company Inc., which runs the website totallypromotional.com.","Unknown
",Industry: Retail,CC,"US
","http://www.scmagazine.com/totally-promotional-attack-compromises-payment-cards-other-data/article/434514/
http://www.asicentral.com/news/newsletters/promogram/august-2015/casad-company-inc-suffers-data-breach/","Totally Promotional, Casad Company Inc., totallypromotional.com",","
8,17/08/2015,NetPirates AKA @TheNetShip,"The Hope Institute
http://www.makehope.org/",NetPirates AKA @TheNetShip hack The Hope Institute (makehope.org) and dump about 6000 usernames and hashed passwords (they claim to have retrieved additional 5000 record).,"SQLi
",Org: education,CC,KR,http://siph0n.in/exploits.php?id=3990,"NetPirates, @TheNetShip hack, The Hope Institute, makehope.org",","
9,18/08/2015,CyberBerkut,"Unso.in.ua
Dontsov-nic.org.ua
Pse3zub.org
Ps-shop.com.ua
Bilozerska.info
Banderivec.ho.ua",The Pro-Russia collective CyberBerkut takes down several Ukrainian sites,DDoS,Org: Nationalism,H,UA,http://cyber-berkut.org/en/,"CyberBerkut, Unso.in.ua, Dontsov-nic.org.ua, Pse3zub.org, Ps-shop.com.ua, Bilozerska.info, Banderivec.ho.ua",","
10,18/08/2015,?,"Tianwang
(a rights and citizen journalism website)","Tianwang, a rights and citizen journalism website based in the southwestern Chinese province of Sichuan says its operations have been paralyzed by an external attack.","Unknown
",Org: Human Rights,CC,CN,http://www.rfa.org/english/news/china/rights-websites-hit-by-suspected-hacker-attack-great-firewall-blockade-08182015111603.html,Tianwang,","
11,18/08/2015,? (hacker affiliated with Anonymous?),Clayton Valley Charter High School,A hacker purportedly associated with the Anonymous collective claims to have hacked the Clayton Valley Charter High School and sends several internal documents via email.,Account Hijacking,Education,H,"US
",http://www.databreaches.net/ca-anonymous-responsible-for-clayton-valley-charter-high-computer-hack/,"Anonymous, Clayton Valley Charter High School ",","
12,18/08/2015,NetPirates AKA @TheNetShip,http://www.gohens.net,"NetPirates AKA @TheNetship hack gohens.net, an online forum, and dump 8,300+ usernames and hashed passwords.","SQLi
",Online Forum,CC,"US
",http://siph0n.net/exploits.php?id=3995,"NetPirates, @TheNetship, gohens.net",","
